中国平安财产保险股份有限公司,5785645,032281-数据分析岗,本科,1-3年,11k-20k,深圳,2000人以上,上市公司,"五险一金,绩效奖金,带薪年假,定期体检",00:00发布
北京酷得少年科技有限公司,5941650,数据分析师,本科,1-3年,20k-30k,北京,50-150人,A轮,六险一金、春节2周假期、季度奖金,1天前发布
北京金山网络科技有限公司,5450245,数据分析师,本科,1-3年,15k-25k,北京,500-2000人,上市公司,六险一金，免费班车，补助，年终奖，健身房,1天前发布
北京四达时代软件技术股份有限公司,3246596,数据分析师,本科,3-5年,18k-25k,北京,2000人以上,上市公司,"多业务平台,海外用户,大量数据,发展空间大",1天前发布
掌阅科技股份有限公司,5956101,数据分析师（广告投放）,本科,不限,15k-25k,北京,500-2000人,上市公司,"工作氛围好,各种团建",1天前发布
杭州观数信息科技有限公司,3045803,数据分析师,本科,3-5年,12k-24k,杭州,50-150人,A轮,"成长空间,牛人团队,独挡一面,期权激励",1天前发布
北京粉笔未来科技有限公司,5920778,数据分析师,本科,3-5年,15k-30k,北京,2000人以上,D轮及以上,五一9天假、双休、旅游津贴、nice领导,1天前发布
深圳宜搜天下科技股份有限公司,5955664,数据分析师,大专,1-3年,10k-12k,深圳,500-2000人,D轮及以上,双休，六险一金，期权激励，年终奖金,1天前发布
武汉屈臣氏个人用品商店有限公司广州分公司,5533861,数据分析师（会员营销）,大专,3-5年,10k-15k,广州,2000人以上,不需要融资,"发展空间大,工作氛围好,千万级用户",1天前发布
玖富金科控股集团有限责任公司,5787021,数据分析师（金融方向）,本科,3-5年,15k-25k,北京,2000人以上,D轮及以上,平台好，氛围好，地铁周边，领导NICE,1天前发布
算话智能科技有限公司,5479849,大数据分析师,本科,1-3年,9k-18k,上海,50-150人,B轮,优秀团队、绩效奖金、福利津贴、定期体检,1天前发布
中移在线服务有限公司,5494730,大数据分析师,本科,3-5年,15k-25k,郑州,2000人以上,不需要融资,海量数据 优质平台 发展空间大,1天前发布
杭州观数信息科技有限公司,5355366,数据分析师,本科,1-3年,15k-30k,深圳,50-150人,A轮,牛人团队 成长空间 期权激励 独当一面,1天前发布
北京水象科技有限公司,5937284,数据分析师（电商）,不限,3-5年,14k-20k,北京,2000人以上,不需要融资,五险一金 多次调薪,1天前发布
上海阑途信息技术有限公司,5388108,数据分析师,本科,1-3年,15k-20k,上海,2000人以上,D轮及以上,扁平化管理，大牛带教,1天前发布
中和农信项目管理有限公司,5888215,数据分析师（北京）(J10503),本科,3-5年,8k-15k,北京,2000人以上,不需要融资,年底多薪 、弹性工作、商业保险、员工宿舍,1天前发布
行吟信息科技（上海）有限公司,5656177,数据分析师,大专,1-3年,5k-8k,武汉,500-2000人,D轮及以上,六险一金 周末双休 13薪 定期体检等,1天前发布
深圳瑞银信信息技术有限公司,4807455,数据分析,本科,不限,10k-20k,北京,2000人以上,不需要融资,"五险一金,定期体检,每月补贴",1天前发布
阳光保险集团股份有限公司,5075030,数据分析岗,本科,1-3年,15k-25k,北京,2000人以上,不需要融资,"大平台,办公环境好,领导很棒,交通便利",1天前发布
创络（上海）数据科技有限公司,4765174,大数据分析师,本科,3-5年,15k-25k,上海,150-500人,B轮,弹性工作,1天前发布
上海钧正网络科技有限公司,5327291,数据分析,本科,1-3年,12k-20k,上海,2000人以上,D轮及以上,五险一金 年终多薪 工作时间弹性,1天前发布
厦门美柚信息科技有限公司,5899330,数据分析（产品方向）,本科,不限,8k-15k,杭州,500-2000人,D轮及以上,五险一金，转正机会，免费班车，大牛带队,1天前发布
北京高因科技有限公司,5662282,大数据分析师,本科,3-5年,20k-40k,北京,500-2000人,B轮,大平台 发展快 带薪旅游 体检,1天前发布
南京浦和数据有限公司,3908272,数据分析师,本科,不限,10k-20k,南京,15-50人,A轮,"五险一金,年终奖金,带薪年假,法定节假",1天前发布
广州市卓越里程教育科技有限公司,5801014,数据分析师,本科,5-10年,15k-25k,广州,2000人以上,不需要融资,BAT队友、团队nice、丰厚奖金、双休,1天前发布
北京新工场投资顾问有限公司,3803867,数据分析师,本科,1-3年,10k-20k,北京,50-150人,A轮,互联网金融 期权激励 六险一金 优秀团队,1天前发布
武汉佰钧成技术有限责任公司,5948412,数据分析师,本科,3-5年,11k-22k,深圳,2000人以上,不需要融资,项目好,1天前发布
拼途（北京）信息技术有限公司,4391587,数据分析师（风控方向）,本科,1-3年,15k-25k,北京,150-500人,D轮及以上,"风控业务,数据分析",1天前发布
上海钧正网络科技有限公司,5416597,数据分析师 (MJ003207),不限,不限,15k-25k,上海,2000人以上,D轮及以上,互联网公司 弹性工作 领导好,1天前发布
北京福佑多多信息技术有限公司,5512268,数据分析师,本科,3-5年,15k-25k,北京,500-2000人,D轮及以上,福利待遇好、创业黑马、技术氛围好,1天前发布
北京闪银奇异科技有限公司,5915782,数据分析师,本科,3-5年,15k-25k,北京,500-2000人,D轮及以上,免费午餐 发展空间大 团队氛围好,1天前发布
北京五八到家信息技术有限公司,5672823,（高级）数据分析师,大专,3-5年,14k-20k,北京,2000人以上,D轮及以上,"公司靠谱,产品靠谱,领导靠谱,团队靠谱",1天前发布
上海晶赞融宣科技有限公司,5407651,数据分析师,硕士,不限,10k-20k,上海,150-500人,D轮及以上,"大数据,互联网",1天前发布
北京嗨学网教育科技股份有限公司,5780722,数据分析师,本科,3-5年,15k-30k,北京,500-2000人,D轮及以上,"平台好，领导nice,福利佳",1天前发布
百度在线网络技术（北京）有限公司,5912913,数据分析师,不限,3-5年,15k-30k,北京,2000人以上,不需要融资,"团队牛,绩效好,公司大,进步快",1天前发布
行吟信息科技（上海）有限公司,5303307,数据分析师,本科,3-5年,15k-30k,上海,500-2000人,D轮及以上,包三餐 零食饮料无限量供应,1天前发布
北京弘合柏基金融信息服务有限责任公司,5913206,数据分析（融资方向）,本科,1-3年,8k-14k,北京,2000人以上,不需要融资,发展空间大 团队nice,1天前发布
挖财网络技术有限公司,5744502,数据分析师 (MJ001038),不限,1-3年,15k-25k,上海,500-2000人,D轮及以上,带薪年假，员工旅游，五险一金，扁平管理,1天前发布
凡普金科集团有限公司,5781109,数据分析师,本科,3-5年,20k-30k,北京,2000人以上,不需要融资,发展空间大,1天前发布
武汉斗鱼网络科技有限公司,5825940,数据分析师,本科,3-5年,8k-12k,武汉,2000人以上,D轮及以上,下午茶；五险一金；弹性工作；前景好；,1天前发布
深圳市超级猩猩健身管理有限公司,5670374,数据分析师,本科,3-5年,10k-20k,深圳,150-500人,D轮及以上,"颜值高团队,扁平化管理,老板好,员工福利",1天前发布
