职位名称,公司全名,公司简称,公司规模,城市,区域,工作经验,学历要求,工资,融资阶段,职位福利
高级Java工程师,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,大兴区,5-10年,本科,16k-30k,上市公司,"团队优,发展好,移动互联网"
Java高级工程师（合生创展珠江地产电商平台）,优选好生活科技（珠海）有限公司,好生活,500-2000人,北京,朝阳区,5-10年,大专,18k-30k,不需要融资,"上市背景,业务稳定,五险一金,无试用期"
JAVA高级开发工程师（支付）,北京四达时代软件技术股份有限公司,四达时代集团,2000人以上,北京,大兴区,5-10年,本科,25k-45k,上市公司,"多业务平台,美式办公,福利超多,发展空间广"
高级JAVA开发工程师,泰康保险集团股份有限公司,泰康保险集团,2000人以上,北京,昌平区,5-10年,本科,20k-40k,不需要融资,"技术大牛,七险两金,班车餐补,年终奖丰厚"
java技术经理,新奥数能科技有限公司,新奥数能科技有限公司,150-500人,北京,朝阳区,5-10年,本科,20k-40k,不需要融资,牛人多、团队氛围好、福利待遇好
Java leader,北京粉笔未来科技有限公司,猿辅导,2000人以上,北京,朝阳区,5-10年,硕士,40k-60k,D轮及以上,"7天年假,五一9天假,年度出国游"
Java技术专家-营销平台(J13774),北京云杉世界信息技术有限公司,美菜网,2000人以上,北京,朝阳区,5-10年,本科,50k-70k,D轮及以上,六险一金 超快发展
java实施工程师,上海华钦信息科技股份有限公司,CLPS,500-2000人,北京,东城区,3-5年,大专,10k-15k,未融资,"六险一金,周末双休"
java后端开发工程师,颐月信息技术（北京）有限公司,BABEL 贝宝,15-50人,北京,朝阳区,1-3年,不限,15k-25k,A轮,六险一金，午餐晚餐，高逼格
电商JAVA开发工程师,北京群鲜荟萃科技有限公司,北京群鲜荟萃科技有限公司,2000人以上,北京,朝阳区,5-10年,不限,20k-25k,A轮,五险一金 独角兽企业 不加班。
高级Java/PHP/Python工程师,智线云科技（北京）有限公司,ZingFront智线,50-150人,北京,朝阳区,3-5年,本科,15k-25k,A轮,"带薪年假,福利多,办公环境好,氛围自由"
java开发工程师,市北区博洋灵邦企业营销策划工作室,市北博洋,15-50人,北京,丰台区,3-5年,不限,15k-20k,不需要融资,薪资高，平台优势
Senior Java Developer,北京万桥达观信息技术有限公司,everbridge,500-2000人,北京,东城区,3-5年,本科,20k-30k,上市公司,"上市外企,弹性工作制,六险一金,美国交流"
Java后台高级开发工程师（Leader）,武汉小象创意科技有限公司,芒果电单车,150-500人,北京,朝阳区,5-10年,本科,30k-40k,B轮,高档办公楼，免费下午茶，研磨咖啡
JAVA高级开发工程师--北京,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,大兴区,5-10年,本科,18k-36k,上市公司,"总部办公,友好氛围,大平台"
资深Java开发工程师,贝壳找房（北京）科技有限公司,贝壳,2000人以上,北京,海淀区,3-5年,本科,30k-50k,D轮及以上,"公司氛围好,内部成长快,免费三餐,成长快"
java开发工程师,北京长贺文化中心（有限合伙）,长贺文化,50-150人,北京,朝阳区,3-5年,本科,20k-30k,不需要融资,薪酬福利好
Java架构师,凡普金科集团有限公司,凡普金科,2000人以上,北京,东城区,5-10年,本科,30k-45k,不需要融资,发展空间大
java后端,北京数美时代科技有限公司,数美,150-500人,北京,朝阳区,应届毕业生,不限,10k-20k,B轮,"飞速发展,大牛多,年底双薪"
java实习生,北京比特大陆科技有限公司,比特大陆,150-500人,北京,海淀区,应届毕业生,硕士,6k-8k,不需要融资,"区块链大牛,成长空间大,福利待遇好"
JAVA 后台Leader,武汉小象创意科技有限公司,芒果电单车,150-500人,北京,朝阳区,5-10年,本科,40k-60k,B轮,扁平化组织快速晋升股票期权五险一金
Java架构师,深圳市央信科技有限公司,央信租机,15-50人,北京,海淀区,5-10年,本科,35k-45k,天使轮,"35-45K ,15薪"
java,北京瑞友科技股份有限公司,北京瑞友,2000人以上,北京,顺义区,3-5年,本科,13k-18k,上市公司,有班车。
java开发工程师,无锡施特捷宜电子商务有限公司,施特捷宜,15-50人,北京,朝阳区,3-5年,本科,30k-45k,未融资,薪资、环境
Java开发工程师,诸葛天下（北京）信息技术有限公司,诸葛天下,2000人以上,北京,通州区,3-5年,本科,10k-20k,上市公司,出国旅游
Java搜索研发工程师,北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,北京,海淀区,1-3年,本科,15k-30k,上市公司,大平台 15天年假 弹性工作制 氛围好
Java Agent 开发工程师,云智慧（北京）科技有限公司,云智慧,150-500人,北京,朝阳区,3-5年,本科,20k-30k,C轮,六险一金，期权激励
Java开发工程师,北京触通科技有限公司,触通科技,15-50人,北京,海淀区,3-5年,本科,15k-18k,天使轮,大发展平台
Java开发工程师,北京易宝金融信息服务有限公司,易宝金融,150-500人,北京,朝阳区,3-5年,本科,15k-30k,B轮,14薪，弹性工作时间，周末双休
高级JAVA/架构师（云平台）,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,朝阳区,5-10年,本科,30k-50k,上市公司,云计算领域 生态发展 数据优势
高级JAVA 服务端开发工程师,苏州思必驰信息科技有限公司,思必驰科技,150-500人,北京,海淀区,3-5年,本科,20k-40k,D轮及以上,弹性工作、最新技术
java 高级开发工程师 职责,上海欢岳网络科技有限公司,AviaGames,15-50人,北京,海淀区,3-5年,本科,20k-40k,A轮,福利待遇优，总部在国外
JAVA架构师/资深、高级工程师,北京转转精神科技有限责任公司,转转,500-2000人,北京,海淀区,3-5年,本科,20k-40k,A轮,"六险一金,牛人共事,弹性工作,成长空间大"
Java开发工程师,泰合鼎川物联科技（北京）股份有限公司,鼎川物联,50-150人,北京,东城区,3-5年,本科,15k-30k,不需要融资,上升期团队，氛围好，加班少
java架构师,北京看了吗视频信息技术有限公司,看了吗视频,50-150人,北京,朝阳区,5-10年,本科,35k-45k,A轮,移动互联网 视频
java架构师,先锋智道（北京）科技有限公司,AA出行,2000人以上,北京,朝阳区,5-10年,本科,30k-50k,不需要融资,全额五险一金，弹性时间，咖啡零食打车券~
Java架构师,北京旷视科技有限公司,旷视MEGVII,500-2000人,北京,海淀区,5-10年,本科,25k-50k,D轮及以上,AI独角兽
JAVA资深工程师,奇虎360科技有限公司,360,2000人以上,北京,朝阳区,5-10年,本科,20k-35k,上市公司,"成长快,大平台"
java高级开发工程师,北京爱选信息科技有限公司,爱选科技,少于15人,北京,朝阳区,3-5年,本科,15k-25k,天使轮,"金融科技类,公司氛围好"
资深Java开发工程师,百融云创科技股份有限公司,百融云创,500-2000人,北京,海淀区,3-5年,本科,15k-30k,C轮,"年底双薪,年度旅游,带薪年假,绩效奖励"
java后端开发,京东数字科技控股有限公司,京东数字科技,2000人以上,北京,大兴区,3-5年,本科,25k-35k,上市公司,大平台 福利健全
高级java工程师,浙江知瑞科技有限公司,知瑞科技,50-150人,北京,朝阳区,3-5年,本科,25k-35k,未融资,技术领先，内部独立系统，不排斥管理层发展
java高级开发工程师,北京触通科技有限公司,触通科技,15-50人,北京,海淀区,3-5年,本科,20k-25k,天使轮,大发展平台
高级java开发工程师,江西牛客科技有限责任公司,牛客科技,少于15人,北京,朝阳区,3-5年,本科,20k-35k,未融资,五险一金全额缴纳、上市公司
Java开发工程师,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,通州区,5-10年,本科,20k-40k,上市公司,14薪，班车，亿级系统，同大牛一起进步
北京研发院 对话平台JAVA高级开发工程师,苏州思必驰信息科技有限公司,思必驰科技,150-500人,北京,海淀区,3-5年,本科,20k-40k,D轮及以上,"AI,弹性上班"
高级Java开发工程师,北京超级灵兽科技有限公司,超级灵兽,少于15人,北京,海淀区,不限,不限,15k-30k,天使轮,交通补助，餐饮补助，股票期权，定期团建
高级java开发工程师（五年）,掘金企服(北京)科技有限公司,掘金企服,500-2000人,北京,朝阳区,5-10年,大专,18k-25k,未融资,",高提成,年度旅游,餐补 年度体检"
Java开发工程师(2019应届),北京北纬通信科技股份有限公司,北纬通信,500-2000人,北京,海淀区,应届毕业生,本科,7k-10k,上市公司,上市公司 出国旅游 领导Nice
Java开发工程师,北京众智东博商贸有限公司,北京众智东博,少于15人,北京,海淀区,3-5年,本科,20k-35k,未融资,活动丰富，办公环境良好，待遇优厚
高级Java技术经理,北京一路魔方科技有限公司,魔方科技,50-150人,北京,西城区,5-10年,本科,20k-35k,不需要融资,福利待遇好，行业和公司发展前景好
JAVA工程师-Mi Cloud,北京小米科技有限责任公司,小米,2000人以上,北京,海淀区,3-5年,本科,25k-45k,D轮及以上,"餐补,年终奖,五险一金"
java开发工程师,神州数码信息系统有限公司,神州信息,2000人以上,北京,朝阳区,1-3年,本科,9k-13k,上市公司,七险一金、
java,北京瑞友科技股份有限公司,北京瑞友,2000人以上,北京,海淀区,3-5年,本科,10k-20k,上市公司,五险一金+双休+年终奖+过节福利
java开发工程师,上海昱丛昉起教育科技合伙企业（有限合伙）,昱丛昉起,150-500人,北京,朝阳区,1-3年,本科,20k-30k,不需要融资,"六险一金,发展前景,团队大咖,文化简单"
Java开发工程师,北京青青众人信息安全技术有限公司,众人安全,50-150人,北京,朝阳区,1-3年,本科,9k-15k,不需要融资,移动金融安全，福利待遇优厚，有上市计划。
Java服务端开发（中高级）,蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,北京,朝阳区,5-10年,不限,20k-30k,B轮,工作充实，成长迅速，大咖云集，幸福感满满
java 兼职 日薪300+,北京智合创美网络信息科技有限公司,智合创美,50-150人,北京,朝阳区,1-3年,不限,6k-10k,不需要融资,地铁周边，不加班
Java开发工程师,北京二进制信息技术有限公司,二进制,15-50人,北京,西城区,不限,本科,6k-8k,未融资,只要你肯干，前景一片好
高级Java开发/架构（京东云教育产品）,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,朝阳区,5-10年,本科,25k-45k,上市公司,云计算领域 生态发展 数据优势
java实习,北京善义善美科技有限公司,人人车,2000人以上,北京,朝阳区,应届毕业生,不限,3k-5k,D轮及以上,"五险一金,技能培训"
高级java后端工程师,远大物产集团有限公司,远大物产,2000人以上,北京,朝阳区,5-10年,本科,30k-60k,上市公司,上市公司，薪酬优厚，企业文化优秀
java实习生,北京链星网络科技有限公司,链星,50-150人,北京,朝阳区,不限,大专,3k-6k,A轮,晋升通道畅通 海外游 领导nice
java微服务,北京朗程文化传播有限公司,朗程文化,15-50人,北京,海淀区,1-3年,不限,15k-25k,不需要融资,弹性工作 项目奖金 带薪年假
java工程师,北京自如友家资产管理有限公司,自如网,2000人以上,北京,朝阳区,5-10年,本科,18k-36k,A轮,发展空间
Java开发工程师,中信百信银行股份有限公司,百信银行,150-500人,北京,朝阳区,3-5年,本科,20k-40k,不需要融资,福利待遇 发展前景
Java（无界零售开发岗位）,达疆网络科技（上海）有限公司,达达-京东到家,2000人以上,北京,大兴区,3-5年,大专,15k-30k,D轮及以上,"新零售,弹性工时,带薪年假,免费班车"
瓜子严选 Java研发工程师,车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,北京,朝阳区,3-5年,本科,25k-50k,D轮及以上,技术至上，热衷开源，开心工作，快乐生活。
Java开发工程师（中高级）,北京大圣互动科技有限公司,大圣互动,15-50人,北京,朝阳区,3-5年,本科,15k-25k,B轮,"海外业务,小米投资,千万用户"
Java开发工程师,秒针信息技术有限公司,明略科技集团,2000人以上,北京,朝阳区,1-3年,本科,15k-25k,D轮及以上,"大牛多,学习型组织"
Java开发工程师（交易所）,北京闪银奇异科技有限公司,闪银奇异,500-2000人,北京,朝阳区,3-5年,本科,20k-35k,D轮及以上,七险一金，免费健身房，海外交易所
Java工程师(服务端),高德软件有限公司,阿里巴巴-高德,2000人以上,北京,朝阳区,3-5年,本科,20k-40k,上市公司,大平台，待遇好，空间大
java工程师,北京智慧星光信息技术有限公司,智慧星光,500-2000人,北京,海淀区,3-5年,本科,20k-30k,不需要融资,产品竞争力强
Java研发工程师,北京夜神数娱科技有限公司,夜神数娱,150-500人,北京,海淀区,3-5年,本科,20k-30k,C轮,"扁平管理,六险一金,境外旅游,福利多多"
【京东】高级后端Java研发工程师（云计算）,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,朝阳区,5-10年,本科,30k-50k,上市公司,云计算领域 生态发展 数据优势
Java开发工程师（家修优品）,北京自如友家资产管理有限公司,自如网,2000人以上,北京,朝阳区,1-3年,本科,13k-25k,A轮,六险一金 租房优惠 五星级办公环境
Java,车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,北京,海淀区,5-10年,本科,25k-50k,D轮及以上,六险一金 美女如云 大牛leader
java工程师-北京,上海汇付数据服务有限公司,汇付,500-2000人,北京,海淀区,5-10年,本科,30k-40k,上市公司,"技术氛围好,工作环境好,福利多"
高级java开发工程师,北京微聚未来科技有限公司,微聚未来,500-2000人,北京,海淀区,3-5年,本科,20k-40k,不需要融资,"牛人团队,带薪年假,16薪考核,快速成长"
java开发工程师,杭州绿湾网络科技有限公司,绿湾,150-500人,北京,海淀区,3-5年,本科,20k-40k,B轮,全额社保；商业保险；各种补贴；下午茶等
Java研发工程师,北京慢点生活科技有限公司,动动,50-150人,北京,朝阳区,3-5年,本科,25k-50k,B轮,"成长空间,技术氛围,海外用户"
java工程师,北京智慧星光信息技术有限公司,智慧星光,500-2000人,北京,海淀区,3-5年,本科,20k-30k,不需要融资,产品竞争力强
java工程师,凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,北京,朝阳区,3-5年,本科,30k-45k,上市公司,团队扁平化、股票期权、上市公司
java开发工程师,北京云动数字媒体技术有限公司,会小二网,150-500人,北京,朝阳区,3-5年,本科,15k-25k,B轮,"知名VC,行业领先,精英团队,成长空间"
JAVA工程师,中信百信银行股份有限公司,百信银行,150-500人,北京,朝阳区,3-5年,本科,19k-38k,不需要融资,待遇好，福利优，发展快，领导好，环境佳
Java开发工程师,企家有道网络技术（北京）有限公司,薪人薪事,150-500人,北京,朝阳区,3-5年,本科,15k-25k,C轮,"技术大牛,年终多薪,福利待遇好"
java工程师,生仝智能科技（北京）有限公司,生仝智能,15-50人,北京,大兴区,不限,硕士,10k-15k,天使轮,集团子公司，新成立团队，前景广阔，
java开发工程师,北京细刻网络科技有限公司,细刻科技,500-2000人,北京,海淀区,3-5年,大专,15k-25k,A轮,"管理民主,系统开发,发展空间大"
JAVA开发工程师,北京盈衍网络科技有限公司,黄金钱包,50-150人,北京,朝阳区,1-3年,本科,12k-20k,C轮,全明星投资，发展空间大
Java后台开发工程师--北京,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,朝阳区,3-5年,本科,18k-36k,上市公司,"总部办公,弹性工时,友好氛围"
Java开发工程师,北京自如友家资产管理有限公司,自如网,2000人以上,北京,朝阳区,5-10年,本科,18k-35k,A轮,绩效奖金，六险一金，带薪年假，团队氛围好
高级java开发工程师,凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,北京,朝阳区,3-5年,本科,30k-45k,上市公司,团队扁平化、股票期权、上市公司
Java开发工程师,中信百信银行股份有限公司,百信银行,150-500人,北京,朝阳区,3-5年,本科,20k-40k,不需要融资,福利待遇 发展前景
Java开发工程师(J10103),精硕科技（北京）股份有限公司,AdMaster,500-2000人,北京,海淀区,3-5年,本科,20k-30k,不需要融资,"年终奖金,福利多多,氛围轻松,爱心假日"
高级JAVA开发工程师（搜索）,OPPO广东移动通信有限公司,OPPO,2000人以上,北京,海淀区,3-5年,本科,20k-40k,不需要融资,亿级用户 高速发展 给力薪酬
java工程师,北京江海沐晖科技有限公司,江海沐晖,50-150人,北京,朝阳区,3-5年,本科,15k-25k,A轮,年终奖，每年加薪两次
java开发工程师,北京南天软件有限公司,南软,500-2000人,北京,海淀区,3-5年,本科,12k-20k,上市公司,五险一金 交通补助 餐费补助 定期体检
Java研发工程师,北京快乐茄信息技术有限公司,茄子快传,150-500人,北京,海淀区,3-5年,本科,25k-50k,B轮,"行业独角兽,团队大牛多,福利待遇好"
JAVA/PHP开发,北京九识佳科技有限公司,小肚皮App,15-50人,北京,朝阳区,1-3年,本科,10k-20k,A轮,五险一金 餐补 年度旅游 逗逼氛围
JAVA研发工程师（高并发）,达摩英时（北京）网络科技有限公司,HOLLA Group,50-150人,北京,东城区,3-5年,本科,20k-40k,A轮,"蓝海产品,大牛老板,薪资给力"
Java工程师,神策网络科技（北京）有限公司,神策数据,150-500人,北京,海淀区,1-3年,本科,15k-30k,C轮,"大数据,技术大牛,扁平化管理,六险一金"
Java开发工程师,北京点石经纬科技有限公司,OKAY智慧教育,500-2000人,北京,海淀区,5-10年,大专,20k-40k,B轮,"团队实力强,周末双休,加班少,成长有空间"
Java开发工程师,传神语联网网络科技股份有限公司,传神,500-2000人,北京,朝阳区,3-5年,本科,15k-25k,上市公司,弹性工作 发展空间 节日福利 带薪年假
java开发工程师,车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,北京,朝阳区,3-5年,本科,25k-40k,D轮及以上,"弹性工作,发展空间大,团队大牛多"
Java开发工程师,北京自如友家资产管理有限公司,自如网,2000人以上,北京,朝阳区,5-10年,本科,18k-35k,A轮,六险一金，晋升空间大
JAVA开发工程师,中信百信银行股份有限公司,百信银行,150-500人,北京,朝阳区,3-5年,本科,20k-40k,不需要融资,福利待遇好 公司发展快 团队专业
Java工程师,凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,北京,朝阳区,3-5年,本科,15k-22k,上市公司,上市公司，管理扁平，上升空间大
JAVA开发工程师,北京盈衍网络科技有限公司,黄金钱包,50-150人,北京,朝阳区,3-5年,本科,15k-25k,C轮,全明星投资，互联网黄金
Java,北京云思畅想科技有限公司,时速云,50-150人,北京,海淀区,3-5年,本科,15k-30k,B轮,"云计算,技术领先,技术驱动"
Java,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,北京,东城区,3-5年,本科,12k-18k,不需要融资,"办公环境好,双休,六险一金"
java开发工程师,北京每日优鲜电子商务有限公司,每日优鲜,500-2000人,北京,朝阳区,5-10年,本科,15k-30k,C轮,"发展空间大,精英团队,技术大牛,超棒氛围"
java工程师,北京联龙博通电子商务技术有限公司,联龙博通,2000人以上,北京,西城区,5-10年,本科,12k-20k,D轮及以上,"五险一金,绩效奖金,餐饮补助,带薪年假"
JAVA开发工程师,北京云动数字媒体技术有限公司,会小二网,150-500人,北京,朝阳区,3-5年,本科,16k-30k,B轮,行业领先、知名VC、精英团队、期权奖励
java开发工程师,北京望石智慧科技有限公司,北京望石智慧科技有限公司,15-50人,北京,海淀区,3-5年,本科,20k-35k,天使轮,"牛人多,期权,国际视野,发展前景好"
高级JAVA工程师,OPPO广东移动通信有限公司,OPPO,2000人以上,北京,海淀区,3-5年,本科,20k-40k,不需要融资,亿级用户
java开发工程师,北京小白世纪网络科技有限公司,小白世纪,15-50人,北京,海淀区,3-5年,本科,15k-20k,A轮,"清华技术,扁平管理,博士领导"
Java开发工程师（推荐系统）,北京云动九天科技有限公司,省钱快报,150-500人,北京,东城区,5-10年,本科,25k-50k,C轮,成长空间、技能提升、免费三餐
java开发工程师,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,1-3年,本科,10k-18k,不需要融资,"五险一金,各种补贴"
Java开发工程师-资产,凡普金科集团有限公司,凡普金科,2000人以上,北京,东城区,5-10年,大专,20k-30k,不需要融资,发展空间大
Java（微服务经验）,北京云思畅想科技有限公司,时速云,50-150人,北京,海淀区,3-5年,本科,15k-30k,B轮,"云计算,资金充足,工程师文化"
java开发工程师,蜗牛睡眠科技（天津）有限公司,蜗牛睡眠,50-150人,北京,朝阳区,3-5年,本科,30k-40k,B轮,平台好，福利待遇佳，领导nice
Java开发工程师,北京多贝兄弟信息技术有限公司,多贝网,50-150人,北京,海淀区,1-3年,本科,15k-25k,上市公司,六险一金 免费午餐 不打卡 都是年轻人
资深java开发工程师,中信百信银行股份有限公司,百信银行,150-500人,北京,朝阳区,不限,本科,30k-60k,不需要融资,六险一金、大牛多、工作环境超赞
java开发工程师,北京雷铭智信科技有限公司,雷铭科技,150-500人,北京,朝阳区,1-3年,本科,8k-12k,不需要融资,五险一金，年假
JAVA 研发工程师,北京弘合柏基金融信息服务有限责任公司,有利网,2000人以上,北京,海淀区,3-5年,本科,20k-40k,不需要融资,"福利待遇优,团队好,环境好,年底奖金"
Java开发工程师,北京粉笔未来科技有限公司,猿辅导,2000人以上,北京,朝阳区,1-3年,本科,20k-30k,D轮及以上,"精英牛人,高薪福利,年度旅游,年底双薪"
java开发,高德软件有限公司,阿里巴巴-高德,2000人以上,北京,朝阳区,3-5年,本科,30k-50k,上市公司,阿里平台
Java开发工程师,北京芯盾时代科技有限公司,Trusfort芯盾时代,150-500人,北京,海淀区,3-5年,本科,15k-30k,C轮,"出国旅游,内推重奖,健康体检,年底十六薪"
Java开发工程师,小小黛朵（北京）科技有限公司,花生米富,150-500人,北京,朝阳区,5-10年,本科,20k-30k,B轮,五险一金
JAVA研发工程师,北京思源置地投资有限公司,思源科技,2000人以上,北京,朝阳区,1-3年,本科,15k-20k,不需要融资,大平台；毛爷爷拿到手软；美女如云
Java工程师,达摩英时（北京）网络科技有限公司,HOLLA Group,50-150人,北京,东城区,5-10年,本科,20k-40k,A轮,"业务全球化,成长空间大,期权奖励"
java开发工程师,广州欢网科技有限责任公司,欢网科技,150-500人,北京,朝阳区,3-5年,本科,15k-25k,B轮,年终奖
Java开发工程师,北京蜜蜂汇金科技有限公司,蜜蜂汇金,500-2000人,北京,朝阳区,3-5年,本科,18k-25k,不需要融资,"十五薪,六险一金,节日福利,通讯补助"
java开发工程师,北京合生活网络科技有限公司,北京合生活网络科技有限公司,150-500人,北京,朝阳区,3-5年,本科,15k-25k,不需要融资,餐补，话补，交通补，全额公积金
高级Java开发工程师,高德软件有限公司,阿里巴巴-高德,2000人以上,北京,朝阳区,1-3年,本科,25k-50k,上市公司,JAVA
java(中高级 全栈),北京鸿链科技有限公司,鸿链科技,50-150人,北京,顺义区,3-5年,本科,15k-22k,A轮,"五险一金,十三薪,年底奖金"
中级java开发工程师,北京捷通华声科技股份有限公司,捷通华声,150-500人,北京,海淀区,不限,本科,10k-20k,不需要融资,高新技术企业、技术大拿多、项目奖金
JAVA工程师,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,3-5年,本科,20k-40k,不需要融资,"多次调薪,股票期权,结构扁平"
java开发工程师（小程序、网站、公众号后端服务）,北京群鲜荟萃科技有限公司,北京群鲜荟萃科技有限公司,2000人以上,北京,朝阳区,3-5年,本科,20k-35k,A轮,五险一金 独角兽企业 不加班。
Java开发工程师,北京多贝兄弟信息技术有限公司,多贝网,50-150人,北京,海淀区,1-3年,本科,15K-30K,上市公司,"六险一金,极客氛围,免费午餐,不打卡"
Java开发工程师（二次开发）,北京永洪商智科技有限公司,永洪科技,150-500人,北京,朝阳区,1-3年,本科,7k-9k,C轮,技术大牛，工作氛围好，行业领先
高级java开发工程师,秒针信息技术有限公司,明略科技集团,2000人以上,北京,朝阳区,5-10年,本科,20k-35k,D轮及以上,弹性工作、层级扁平、带薪年假、房补车补
java开发工程师,北京新橙科技有限公司,iCourt,150-500人,北京,朝阳区,1-3年,本科,20k-40k,不需要融资,五星级大厨团队制作一日三餐，下班打车报销
JAVA研发工程师（销售业务系统）,联想（北京）有限公司,联想集团,2000人以上,北京,海淀区,3-5年,本科,15k-25k,上市公司,发展空间大
java开发工程师,北京金山云网络技术有限公司,金山云,500-2000人,北京,海淀区,3-5年,本科,25k-50k,D轮及以上,免费三餐、弹性工作制、免费班车
资深Java工程师,北京积沙成塔科技有限公司,小帮规划,150-500人,北京,朝阳区,5-10年,本科,18k-33k,B轮,氛围好，大牛
java开发工程师,广州奥格智能科技有限公司,奥格智能,500-2000人,北京,西城区,不限,本科,8k-16k,不需要融资,弹性上下班时间
高级java开发工程师,北京市商汤科技开发有限公司,商汤科技,2000人以上,北京,海淀区,3-5年,本科,25k-50k,C轮,"核心业务,高薪酬福利,技术大牛"
Java开发工程师,北京猫眼文化传媒有限公司,猫眼电影,500-2000人,北京,东城区,1-3年,本科,15k-30k,未融资,技术大牛带队，领导nice，技术氛围赞
Java工程师,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,1-3年,本科,15k-30k,不需要融资,股票期权，年底双薪，每年两次调薪
java开发,高德软件有限公司,阿里巴巴-高德,2000人以上,北京,朝阳区,3-5年,本科,30k-50k,上市公司,阿里平台
JAVA,北京鸿链科技有限公司,鸿链科技,50-150人,北京,顺义区,3-5年,本科,14k-20k,A轮,"五险一金,十三薪,奖金,技术提升"
Java开发工程师——金融技术,车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,北京,朝阳区,3-5年,本科,20k-40k,D轮及以上,"核心部门,技术大牛,丰厚福利,期权奖励"
java开发工程师,爱笔（北京）智能科技有限公司,Aibee,150-500人,北京,海淀区,3-5年,本科,20k-40k,A轮,发展前景好/六险一金/午晚餐/技术大牛
JAVA开发工程师（算法方向）,北京布本智能科技有限公司,布本智能,15-50人,北京,朝阳区,3-5年,本科,15k-22k,A轮,"待遇优厚,温馨团建,生日会,氛围活跃轻松"
java开发工程师,汉熵通信有限公司,汉熵通信有限公司,15-50人,北京,海淀区,3-5年,本科,25k-50k,不需要融资,五险一金
java开发工程师,北京昱新科技有限公司,云朵课堂,150-500人,北京,朝阳区,5-10年,大专,20k-30k,B轮,五险一金，带薪年假，福利多多，晋升空间大
Java开发工程师,北京达士通信息技术有限公司,达士通信息,150-500人,北京,丰台区,1-3年,大专,11k-20k,不需要融资,"领导nice,年底大红包,包吃,扁平管理"
java工程师,北京联龙博通电子商务技术有限公司,联龙博通,2000人以上,北京,丰台区,5-10年,本科,15k-25k,D轮及以上,"五险一金,绩效奖金,餐饮补助,带薪年假"
java开发工程师,和信丰泽投资担保（北京）有限公司,和信集团,2000人以上,北京,朝阳区,3-5年,本科,12k-24k,不需要融资,五险一金、周末双休
java工程师 (MJ000067),宁波雾芯信息科技有限公司北京分公司,RELX 悦刻,50-150人,北京,朝阳区,3-5年,本科,20k-40k,B轮,五险一金，带薪年假，年底丰厚奖金
Java研发工程师,北京云舒写教育科技有限公司,云舒写教育科技,150-500人,北京,海淀区,1-3年,本科,10k-15k,B轮,"地铁周边,员工旅游,期权奖励,环境好"
java开发工程师（初中级）,深圳市赢时胜信息技术股份有限公司,赢时胜软件,500-2000人,北京,丰台区,1-3年,本科,8k-12k,上市公司,"上市公司,大型平台,热门行业,发展机会多"
java开发工程师,北京凤凰学易科技有限公司,学科网,500-2000人,北京,房山区,3-5年,本科,12k-20k,B轮,互联网教育 薪酬福利优 学习发展空间大
Java工程师,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,1-3年,本科,15k-30k,不需要融资,"多次调薪,股票期权,结构扁平"
java开发（初级）,北京鸿链科技有限公司,鸿链科技,50-150人,北京,顺义区,不限,本科,6k-12k,A轮,全额缴纳五险一金，发展前景好
JAVA研发工程师（IoT物联网方向）,北京车和家信息技术有限责任公司,车和家,2000人以上,北京,朝阳区,3-5年,本科,15k-30k,B轮,发展空间大 公司有前景 六险一金
java开发工程师,北京微名天下科技有限公司,递名片,15-50人,北京,朝阳区,3-5年,本科,15k-25k,A轮,专注产品、前景好、团队氛围好
java开发工程师,北京中科智加科技有限公司,中科智加,50-150人,北京,海淀区,3-5年,本科,10k-18k,不需要融资,五险一金 带薪年假 高额年终奖
JAVA工程师（广告方向）,广州欢网科技有限责任公司,欢网科技,150-500人,北京,朝阳区,3-5年,本科,15k-25k,B轮,绩效奖金、年中旅游
JAVA开发工程师,思凯思特（北京）科技有限公司,PINTEC,150-500人,北京,朝阳区,5-10年,本科,20k-35k,上市公司,"六险一金,带薪假期,工作居住证,外资团队"
